id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_user,Can add user
14,4,change_user,Can change user
15,4,delete_user,Can delete user
16,4,view_user,Can view user
17,5,add_contenttype,Can add content type
18,5,change_contenttype,Can change content type
19,5,delete_contenttype,Can delete content type
20,5,view_contenttype,Can view content type
21,6,add_session,Can add session
22,6,change_session,Can change session
23,6,delete_session,Can delete session
24,6,view_session,Can view session
25,7,add_contactus,Can add contactus
26,7,change_contactus,Can change contactus
27,7,delete_contactus,Can delete contactus
28,7,view_contactus,Can view contactus
29,8,add_interndetails,Can add intern details
30,8,change_interndetails,Can change intern details
31,8,delete_interndetails,Can delete intern details
32,8,view_interndetails,Can view intern details
33,9,add_teammember,Can add team member
34,9,change_teammember,Can change team member
35,9,delete_teammember,Can delete team member
36,9,view_teammember,Can view team member
37,10,add_ytvideos,Can add y tvideos
38,10,change_ytvideos,Can change y tvideos
39,10,delete_ytvideos,Can delete y tvideos
40,10,view_ytvideos,Can view y tvideos
41,11,add_userfavprojects,Can add user fav projects
42,11,change_userfavprojects,Can change user fav projects
43,11,delete_userfavprojects,Can delete user fav projects
44,11,view_userfavprojects,Can view user fav projects
45,12,add_productyt,Can add product yt
46,12,change_productyt,Can change product yt
47,12,delete_productyt,Can delete product yt
48,12,view_productyt,Can view product yt
49,13,add_userdetails,Can add user details
50,13,change_userdetails,Can change user details
51,13,delete_userdetails,Can delete user details
52,13,view_userdetails,Can view user details
53,14,add_productimgs,Can add product imgs
54,14,change_productimgs,Can change product imgs
55,14,delete_productimgs,Can delete product imgs
56,14,view_productimgs,Can view product imgs
57,15,add_productinfo,Can add product info
58,15,change_productinfo,Can change product info
59,15,delete_productinfo,Can delete product info
60,15,view_productinfo,Can view product info
61,16,add_homeimgs,Can add homeimgs
62,16,change_homeimgs,Can change homeimgs
63,16,delete_homeimgs,Can delete homeimgs
64,16,view_homeimgs,Can view homeimgs
65,17,add_earntask,Can add earn task
66,17,change_earntask,Can change earn task
67,17,delete_earntask,Can delete earn task
68,17,view_earntask,Can view earn task
