id,app,name,applied
1,contenttypes,0001_initial,2025-06-28 09:13:09.180396
2,auth,0001_initial,2025-06-28 09:13:09.238997
3,admin,0001_initial,2025-06-28 09:13:09.295825
4,admin,0002_logentry_remove_auto_add,2025-06-28 09:13:09.334628
5,admin,0003_logentry_add_action_flag_choices,2025-06-28 09:13:09.383327
6,contenttypes,0002_remove_content_type_name,2025-06-28 09:13:09.429799
7,auth,0002_alter_permission_name_max_length,2025-06-28 09:13:09.465185
8,auth,0003_alter_user_email_max_length,2025-06-28 09:13:09.497837
9,auth,0004_alter_user_username_opts,2025-06-28 09:13:09.528382
10,auth,0005_alter_user_last_login_null,2025-06-28 09:13:09.572773
11,auth,0006_require_contenttypes_0002,2025-06-28 09:13:09.596143
12,auth,0007_alter_validators_add_error_messages,2025-06-28 09:13:09.634072
13,auth,0008_alter_user_username_max_length,2025-06-28 09:13:09.670899
14,auth,0009_alter_user_last_name_max_length,2025-06-28 09:13:09.703816
15,auth,0010_alter_group_name_max_length,2025-06-28 09:13:09.753349
16,auth,0011_update_proxy_permissions,2025-06-28 09:13:09.782955
17,auth,0012_alter_user_first_name_max_length,2025-06-28 09:13:09.818376
18,sessions,0001_initial,2025-06-28 09:13:09.865361
19,mainapp,0001_initial,2025-06-28 09:20:14.983203
20,mainapp,0002_homeimgs_interndetails_applicationlink_and_more,2025-07-06 19:15:08.109363
21,mainapp,0003_productinfo_prodtags,2025-07-07 07:20:26.535022
22,mainapp,0004_earntask,2025-07-08 19:40:00.815227
