hiid,imgtitle,imglink,timestamp
1,Slide1,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide1.png,2025-07-07 06:54:14.645965
2,Slide2,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide2.png,2025-07-07 06:54:36.591084
3,Slide3,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide3.png,2025-07-07 06:54:47.098685
4,Slide4,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide4.png,2025-07-07 06:55:06.285398
5,Slide5,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide5.png,2025-07-07 06:55:15.251434
6,Slide6,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide6.png,2025-07-07 06:55:26.823792
7,Slide7,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide7.png,2025-07-07 06:55:34.427834
8,Slide8,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide8.png,2025-07-07 06:55:41.736216
9,Slide9,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide9.png,2025-07-07 06:55:56.065742
10,Slide10,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide10.png,2025-07-07 06:56:11.026994
11,Slide11,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide11.png,2025-07-07 06:56:19.127707
12,Slide12,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide12.png,2025-07-07 06:56:30.011764
13,Slide13,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide13.png,2025-07-07 06:56:38.528705
14,Slide14,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide14.png,2025-07-07 06:56:50.151462
15,Slide15,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide15.png,2025-07-07 06:56:59.213154
16,Slide16,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide16.png,2025-07-07 06:57:15.285950
17,Slide17,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide17.png,2025-07-07 06:57:22.603630
18,Slide18,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide18.png,2025-07-07 06:57:30.213000
19,Slide19,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide19.png,2025-07-07 06:57:41.470724
20,Slide20,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide20.png,2025-07-07 06:57:49.592813
21,Slide21,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide21.png,2025-07-07 06:58:20.946827
22,Slide22,https://raw.githubusercontent.com/AtharvaPawar456/HandMadeProjects/refs/heads/main/siteimages/HMPProjectsimgs/Slide22.png,2025-07-07 06:58:33.041577
